"","priceType","area","yyyymm","day","deposit","price","floor","build","aptType","yyyy","mm","si"
"1350168","월세",46.42,201908,"12",4597,9,17,"2014","아파트","2019","08","화성시"
"700671","월세",24.36,201701,"3",200,30,1,"2001","연립다세대","2017","01","안산상록구"
"653174","전세",136.08,201702,"28",7500,0,1,"1994","단독다가구","2017","02","의정부시"
"1444307","전세",64.56,201902,"19",10000,0,1,"2018","단독다가구","2019","02","평택시"
"594025","월세",23.14,201712,"26",2000,45,1,"2012","단독다가구","2017","12","성남분당구"
"683364","월세",32.13,201710,"14",500,30,-1,"1990","연립다세대","2017","10","부천시"
"530774","월세",124.821,201702,"22",2000,80,13,"2007","아파트","2017","02","파주시"
"297455","전세",113.08,201608,"26",8000,0,1,"1994","단독다가구","2016","08","파주시"
"1170632","전세",59.539,201905,"25",20000,0,9,"2017","아파트","2019","05","김포시"
"703871","월세",78.87,201705,"19",2607,6,1,"2013","연립다세대","2017","05","양주시"
"80512","전세",134.55,201611,"16",57000,0,10,"1992","아파트","2016","11","성남분당구"
"1165524","월세",59.07,201901,"21",9600,21,20,"2018","아파트","2019","01","군포시"
"1199807","전세",45,201910,"29",18000,0,15,"1996","아파트","2019","10","부천시"
"1166543","월세",49.69,201902,"28",5000,40,13,"1995","아파트","2019","02","군포시"
"152119","전세",146.274,201610,"6",41000,0,9,"2001","아파트","2016","10","용인수지구"
"1443878","전세",24,201911,"13",4000,0,1,"2012","단독다가구","2019","11","평택시"
"1251820","전세",49.77,201910,"4",10000,0,11,"1994","아파트","2019","10","안산상록구"
"1206849","전세",59.13,201901,"19",39000,0,13,"1991","아파트","2019","01","성남분당구"
"660651","전세",60,201701,"19",10000,0,1,"2016","단독다가구","2017","01","평택시"
"417377","전세",108.6002,201710,"20",21000,0,4,"2000","아파트","2017","10","김포시"
"1470518","전세",56.91,201906,"28",15500,0,3,"2003","연립다세대","2019","06","부천시"
"877154","전세",75.3115,201803,"28",19500,0,4,"2018","아파트","2018","03","오산시"
"152511","월세",84.9959,201611,"19",7000,100,9,"2004","아파트","2016","11","용인수지구"
"1013766","월세",50,201805,"6",4000,40,1,"1996","단독다가구","2018","05","안산상록구"
"477074","전세",75.56,201711,"30",28000,0,4,"2001","아파트","2017","11","안산단원구"
"1026552","월세",19.27,201802,"23",100,30,1,"2002","단독다가구","2018","02","오산시"
"900331","전세",42.84,201801,"29",12000,0,2,"1986","아파트","2018","01","의왕시"
"1494010","전세",84.5541,201903,"24",20000,0,2,"2019","연립다세대","2019","03","용인처인구"
"944785","월세",84.9933,201810,"31",17100,12,13,"2018","아파트","2018","10","화성시"
"692641","전세",28.49,201712,"16",16000,0,6,"2017","연립다세대","2017","12","수원장안구"
"118732","전세",50,201607,"15",21000,0,11,"1993","아파트","2016","07","안양동안구"
"902328","전세",59.994,201809,"15",18000,0,4,"2005","아파트","2018","09","의정부시"
"716129","전세",36.85,201709,"6",13500,0,7,"2003","오피스텔","2017","09","고양일산동구"
"1449983","전세",35.7,201906,"14",10000,0,1,"2013","단독다가구","2019","06","화성시"
"93525","월세",49.14,201612,"17",2000,50,5,"1993","아파트","2016","12","수원권선구"
"239186","전세",41.61,201605,"30",6000,0,1,"1990","단독다가구","2016","05","성남수정구"
"1086849","월세",62.41,201808,"22",638,36,3,"2018","연립다세대","2018","08","안양만안구"
"323482","월세",59.89,201601,"11",10000,10,2,"2001","연립다세대","2016","01","부천시"
"468392","전세",81.45,201710,"11",12000,0,7,"1995","아파트","2017","10","수원장안구"
"1243274","전세",48.45,201912,"11",12000,0,2,"1999","아파트","2019","12","시흥시"
